env_time,Repo,BuildVersion,PackageName,PackageVersion,Branch,Relationship,DataSource
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.DependencyInjection.Abstractions,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Logging,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Logging.Abstractions,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Logging.Configuration,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.ObjectPool,5.0.4,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Options,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Options.ConfigurationExtensions,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Primitives,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.DeepInsights.Internal,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Intune.Core.DependencyInjection,14.2503.1.8,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
